,image,mask
22,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju35mdz73x890835eynq1h9v.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju35mdz73x890835eynq1h9v.jpg
23,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2mh8t6p07008350e01tx2a.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2mh8t6p07008350e01tx2a.jpg
24,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5o4pk9h0720755lgp9jq8m.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5o4pk9h0720755lgp9jq8m.jpg
25,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5ddda9bkkt0850enzwatb1.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5ddda9bkkt0850enzwatb1.jpg
26,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju6v6g6kvdw007552x6mb0po.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju6v6g6kvdw007552x6mb0po.jpg
27,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju0vtox5ain6099360pu62rp.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju0vtox5ain6099360pu62rp.jpg
28,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5ft6mcd5q40987rhjgbrr6.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5ft6mcd5q40987rhjgbrr6.jpg
29,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju886ryxnsl50801r93jai7q.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju886ryxnsl50801r93jai7q.jpg
30,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8432cmkgq90871cxe4iptl.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8432cmkgq90871cxe4iptl.jpg
31,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2spdagu1l50835da1f46fr.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2spdagu1l50835da1f46fr.jpg
32,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5vutu7ll8w0871dfp92n9p.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5vutu7ll8w0871dfp92n9p.jpg
33,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2t3ibkuecr0835o7si16zv.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2t3ibkuecr0835o7si16zv.jpg
34,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8b0jr0r2oi0801jiquetd5.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8b0jr0r2oi0801jiquetd5.jpg
35,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cjyzuio1qgh040763k56deohv.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cjyzuio1qgh040763k56deohv.jpg
36,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju35i2e63uxr0835h7zgkg9k.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju35i2e63uxr0835h7zgkg9k.jpg
37,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5fw37edaae0801vkwvocn7.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5fw37edaae0801vkwvocn7.jpg
38,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju35oyvd3y850988km12hdz1.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju35oyvd3y850988km12hdz1.jpg
39,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5vwbr4lhqn0987a1pji0ux.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5vwbr4lhqn0987a1pji0ux.jpg
40,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5g163vd6mt0817uccuga6u.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5g163vd6mt0817uccuga6u.jpg
41,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2r2obh2bjm08553kng0rh7.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2r2obh2bjm08553kng0rh7.jpg
42,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju83syhdk6gs0801rf1rekdl.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju83syhdk6gs0801rf1rekdl.jpg
43,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2tqfgw4oat0799rn0g5b2z.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2tqfgw4oat0799rn0g5b2z.jpg
44,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/ck2bxskgxxzfv08386xkqtqdy.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/ck2bxskgxxzfv08386xkqtqdy.jpg
45,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5u8gz4kj5b07552e2wpkwp.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5u8gz4kj5b07552e2wpkwp.jpg
46,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5huurrecm70801y680y13m.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5huurrecm70801y680y13m.jpg
47,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2rn0hasxri0835nfy3buay.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2rn0hasxri0835nfy3buay.jpg
48,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju45lbgznahl08180xz1h7u6.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju45lbgznahl08180xz1h7u6.jpg
49,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju87kbcen2av0987usezo8kn.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju87kbcen2av0987usezo8kn.jpg
50,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2r91dg2k090801bh0xzbxk.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2r91dg2k090801bh0xzbxk.jpg
51,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju1aqqv02qwz0878a5cyhr67.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju1aqqv02qwz0878a5cyhr67.jpg
52,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2pjb9v0ywn0878j5g5n69j.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2pjb9v0ywn0878j5g5n69j.jpg
53,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju30ftgja7170855xl9bkdm0.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju30ftgja7170855xl9bkdm0.jpg
54,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5cu8qkb84x08186jwo8yin.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5cu8qkb84x08186jwo8yin.jpg
55,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju418rckl3ur08012psrx1r1.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju418rckl3ur08012psrx1r1.jpg
56,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju7f4sc62xqj075597xpmuoy.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju7f4sc62xqj075597xpmuoy.jpg
57,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8aj01yqeqm0850lhdz3xdw.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8aj01yqeqm0850lhdz3xdw.jpg
58,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2rga4psq9n09881z519xx0.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2rga4psq9n09881z519xx0.jpg
59,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2xd75m82720801q4s4ik3n.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2xd75m82720801q4s4ik3n.jpg
60,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5vgawslbe30987ndeepc1b.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5vgawslbe30987ndeepc1b.jpg
61,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5wrapcm2290818jsh26ppb.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5wrapcm2290818jsh26ppb.jpg
62,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2i6acqvo6l0799u20fift8.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2i6acqvo6l0799u20fift8.jpg
63,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju43kj2pm34f0850l28ahpni.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju43kj2pm34f0850l28ahpni.jpg
64,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju6wn57mvooj0850rp78hhy7.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju6wn57mvooj0850rp78hhy7.jpg
65,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju42nm68lpyo0818xvvqmupq.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju42nm68lpyo0818xvvqmupq.jpg
66,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2yv4imv6cz099314jveiib.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2yv4imv6cz099314jveiib.jpg
67,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5nxkujgscq0817l9gss626.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5nxkujgscq0817l9gss626.jpg
68,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8b6rp0r5st0850184f79xt.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8b6rp0r5st0850184f79xt.jpg
69,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju6us80mv1b50871ebyq2wxa.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju6us80mv1b50871ebyq2wxa.jpg
70,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju85je7vlht70817c9jcjwi4.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju85je7vlht70817c9jcjwi4.jpg
71,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju43eigtm6ev0801mv0m96t1.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju43eigtm6ev0801mv0m96t1.jpg
72,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8alhigqn2h0801zksudldd.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8alhigqn2h0801zksudldd.jpg
73,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2sszfq3uye0878sucelzk2.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2sszfq3uye0878sucelzk2.jpg
74,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2u2b9o4zvp08788qb9nqxj.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2u2b9o4zvp08788qb9nqxj.jpg
75,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju15czxqp3lv0835jvhgzurz.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju15czxqp3lv0835jvhgzurz.jpg
76,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju34ymm8d6700799uop0cw33.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju34ymm8d6700799uop0cw33.jpg
77,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju320gyvbch60801v2amdi2g.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju320gyvbch60801v2amdi2g.jpg
78,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju32pzh9bpw10855q4vaxfhe.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju32pzh9bpw10855q4vaxfhe.jpg
79,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8dn0c3u2v50801k8rvq02f.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8dn0c3u2v50801k8rvq02f.jpg
80,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju15wdt3zla10801odjiw7sy.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju15wdt3zla10801odjiw7sy.jpg
81,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5clr68b48r0755cmuvponm.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5clr68b48r0755cmuvponm.jpg
82,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5ymyd8mmdc0801ry3by1xr.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5ymyd8mmdc0801ry3by1xr.jpg
83,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju35fxqyzt5p0993vusm54qz.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju35fxqyzt5p0993vusm54qz.jpg
84,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2zy1e49pqk0878t6ncqn12.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2zy1e49pqk0878t6ncqn12.jpg
85,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5hi52odyf90817prvcwg45.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5hi52odyf90817prvcwg45.jpg
86,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju5xq3tdm9fn0987pbedxdg5.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju5xq3tdm9fn0987pbedxdg5.jpg
87,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2zo0fwzv580988qlijd2xa.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2zo0fwzv580988qlijd2xa.jpg
88,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju83u9ftk3ni0987qnhlcinv.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju83u9ftk3ni0987qnhlcinv.jpg
89,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju1fuoa4wmc50835qfd11sp9.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju1fuoa4wmc50835qfd11sp9.jpg
90,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju30u1hbakn808019g15nb8b.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju30u1hbakn808019g15nb8b.jpg
91,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju7etr3y2p4t0801cdzjj8ab.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju7etr3y2p4t0801cdzjj8ab.jpg
92,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju13cgqmnhwn0988yrainhcp.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju13cgqmnhwn0988yrainhcp.jpg
93,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju6x4t13vyw60755gtcf9ndu.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju6x4t13vyw60755gtcf9ndu.jpg
94,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju7db7lp2f400755tntd1ohf.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju7db7lp2f400755tntd1ohf.jpg
95,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju6wll7wvo3y08502pagos8m.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju6wll7wvo3y08502pagos8m.jpg
96,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju8at3s1qqqx0850hcq8nmnq.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju8at3s1qqqx0850hcq8nmnq.jpg
97,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju16jgnyzp970878melv7r25.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju16jgnyzp970878melv7r25.jpg
98,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju16whaj0e7n0855q7b6cjkm.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju16whaj0e7n0855q7b6cjkm.jpg
99,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju1dia8hvc6v098827mgffnm.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju1dia8hvc6v098827mgffnm.jpg
100,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju3280wv1ir009882jze27tc.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju3280wv1ir009882jze27tc.jpg
101,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju0s2a9ekvms080138tjjpxr.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju0s2a9ekvms080138tjjpxr.jpg
102,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju7adqyj1jcx08712r1ro5gx.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju7adqyj1jcx08712r1ro5gx.jpg
103,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju30j1rgadut0801vuyrsnt8.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju30j1rgadut0801vuyrsnt8.jpg
104,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju2rzpsmtb0f0835jabkbao1.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju2rzpsmtb0f0835jabkbao1.jpg
105,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju41s6nbleqy0755e2mslg0b.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju41s6nbleqy0755e2mslg0b.jpg
106,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/images/cju35k2fr3vc50988c85qkrwg.jpg,/home/young/chanyoung/Experiment/dataset/kvasir-seg/Kvasir-SEG/masks/cju35k2fr3vc50988c85qkrwg.jpg
